RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Latitude,Longitude,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,AvgWages,Notes
132,10452,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,33517,56277,723508523,12856.2,
136,10453,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,34152,57691,699611756,12126.9,
141,10456,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,34793,58750,732907466,12475,
144,10458,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,29920,50085,693447254,13845.4,
155,10462,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,35620,57854,1197519842,20699,
156,10463,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,31592,50313,1284853119,25537.2,
164,10467,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,39540,64907,1114305720,17167.7,
169,10468,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,0.21,-0.72,0.65,NA,US,"Bronx, NY",NA-US-NY-BRONX,false,34706,55824,840612915,15058.3,
191,10002,STANDARD,"NEW YORK",NY,PRIMARY,40.71,-73.99,0.2,-0.72,0.65,NA,US,"New York, NY","NA-US-NY-NEW YORK",false,45236,70604,1394042364,19744.5,
270,10025,STANDARD,"NEW YORK",NY,PRIMARY,40.71,-73.99,0.2,-0.72,0.65,NA,US,"New York, NY","NA-US-NY-NEW YORK",false,47778,70190,1675737238,23874.3,
6317,06010,STANDARD,BRISTOL,CT,PRIMARY,41.68,-72.94,0.21,-0.71,0.66,NA,US,"Bristol, CT",NA-US-CT-BRISTOL,false,30287,50388,1280148925,25405.8,
8237,07055,STANDARD,PASSAIC,NJ,PRIMARY,40.85,-74.12,0.2,-0.72,0.65,NA,US,"Passaic, NJ",NA-US-NJ-PASSAIC,false,28463,51244,778397023,15190,
9362,11203,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,34652,55405,1084323071,19570.9,
9363,11204,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,30115,54898,946956112,17249.4,
9365,11206,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,30896,50200,755431690,15048.4,
9366,11207,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,36926,61265,935873605,15275.8,
9367,11208,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,38303,65751,932966218,14189.4,
9368,11209,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,32762,51567,1567801401,30403.2,
9370,11211,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,36140,57386,1288686846,22456.5,
9371,11212,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,34244,56806,843910162,14856,
9373,11214,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,36349,62973,1178797282,18719.1,
9377,11218,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,30223,51742,1081603665,20903.8,
9378,11219,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,29041,56627,704077724,12433.6,
9379,11220,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,42306,73470,935825193,12737.5,
9380,11221,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,31013,50075,805118628,16078.3,
9382,11223,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,29730,51878,1084557564,20905.9,
9385,11226,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,46411,74527,1312405963,17609.8,
9387,11229,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,33973,58851,1299362475,22078.9,
9388,11230,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,32295,56454,1182130112,20939.7,
9392,11234,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,39824,67156,1738149669,25882.3,
9393,11235,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,35873,59131,1340790184,22674.9,
9394,11236,STANDARD,BROOKLYN,NY,PRIMARY,40.64,-73.94,0.2,-0.72,0.65,NA,US,"Brooklyn, NY",NA-US-NY-BROOKLYN,false,43240,71345,1557333473,21828.2,
9465,11355,STANDARD,FLUSHING,NY,PRIMARY,40.77,-73.84,0.21,-0.72,0.65,NA,US,"Flushing, NY",NA-US-NY-FLUSHING,false,40779,67548,932883770,13810.7,
9517,11368,STANDARD,CORONA,NY,PRIMARY,40.74,-73.85,0.21,-0.72,0.65,NA,US,"Corona, NY",NA-US-NY-CORONA,false,39840,67717,892353230,13177.7,
9532,11372,STANDARD,"JACKSON HEIGHTS",NY,PRIMARY,40.75,-73.88,0.21,-0.72,0.65,NA,US,"Jackson Heights, NY","NA-US-NY-JACKSON HEIGHTS",false,33063,53879,1003649658,18627.8,
9536,11373,STANDARD,ELMHURST,NY,PRIMARY,40.72,-73.87,0.21,-0.72,0.65,NA,US,"Elmhurst, NY",NA-US-NY-ELMHURST,false,44846,75771,1129808721,14910.8,
9543,11375,STANDARD,"FOREST HILLS",NY,PRIMARY,40.72,-73.84,0.21,-0.72,0.65,NA,US,"Forest Hills, NY","NA-US-NY-FOREST HILLS",false,35253,56345,1987025041,35265.3,
9548,11377,STANDARD,WOODSIDE,NY,PRIMARY,40.74,-73.9,0.21,-0.72,0.65,NA,US,"Woodside, NY",NA-US-NY-WOODSIDE,false,40501,66214,1195261041,18051.5,
9565,11385,STANDARD,RIDGEWOOD,NY,PRIMARY,40.7,-73.89,0.21,-0.72,0.65,NA,US,"Ridgewood, NY",NA-US-NY-RIDGEWOOD,false,44563,75737,1463939487,19329.3,
9809,10312,STANDARD,"STATEN ISLAND",NY,PRIMARY,40.58,-74.14,0.2,-0.73,0.65,NA,US,"Staten Island, NY","NA-US-NY-STATEN ISLAND",false,28383,50774,1544733562,30423.7,
9811,10314,STANDARD,"STATEN ISLAND",NY,PRIMARY,40.58,-74.14,0.2,-0.73,0.65,NA,US,"Staten Island, NY","NA-US-NY-STATEN ISLAND",false,39184,68561,1882436933,27456.4,
9846,11706,STANDARD,"BAY SHORE",NY,PRIMARY,40.72,-73.25,0.21,-0.72,0.65,NA,US,"Bay Shore, NY","NA-US-NY-BAY SHORE",false,29620,50386,1240782329,24625.5,
10019,11746,STANDARD,"HUNTINGTON STATION",NY,PRIMARY,40.84,-73.4,0.21,-0.72,0.65,NA,US,"Huntington Station, NY","NA-US-NY-HUNTINGTON STATION",false,32197,56971,1986757091,34873.1,
12716,08701,STANDARD,LAKEWOOD,NJ,PRIMARY,40.09,-74.21,0.2,-0.73,0.64,NA,US,"Lakewood, NJ",NA-US-NJ-LAKEWOOD,false,27123,52778,686479255,13006.9,
